recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity
TAZ,323,44.84823892820,-93.81079238970,44.974573,-93.27035,"44.8482389282, -93.8107923897","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,324,44.84689823210,-93.79611048790,44.974573,-93.27035,"44.8468982321, -93.7961104879","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,325,44.84923115350,-93.77688976140,44.974573,-93.27035,"44.8492311535, -93.7768897614","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,326,44.87387026790,-93.72232827150,44.974573,-93.27035,"44.8738702679, -93.7223282715","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,327,44.85388342020,-93.68866491710,44.974573,-93.27035,"44.8538834202, -93.6886649171","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,328,44.83995901580,-93.66649909250,44.974573,-93.27035,"44.8399590158, -93.6664990925","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,329,44.82099446380,-93.67112387670,44.974573,-93.27035,"44.8209944638, -93.6711238767","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,330,44.83474938020,-93.70024754260,44.974573,-93.27035,"44.8347493802, -93.7002475426","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,331,44.85360769390,-93.72544222370,44.974573,-93.27035,"44.8536076939, -93.7254422237","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,332,44.84961887730,-93.75090852680,44.974573,-93.27035,"44.8496188773, -93.7509085268","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,333,44.83283957720,-93.73440300530,44.974573,-93.27035,"44.8328395772, -93.7344030053","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,334,44.80682385210,-93.72318568290,44.974573,-93.27035,"44.8068238521, -93.7231856829","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,335,44.82538489210,-93.75502514720,44.974573,-93.27035,"44.8253848921, -93.7550251472","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,336,44.82736685960,-93.77813940730,44.974573,-93.27035,"44.8273668596, -93.7781394073","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,337,44.84081700080,-93.77723938700,44.974573,-93.27035,"44.8408170008, -93.777239387","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,338,44.82895582100,-93.79777787800,44.974573,-93.27035,"44.828955821, -93.797777878","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,339,44.82438191230,-93.82172827260,44.974573,-93.27035,"44.8243819123, -93.8217282726","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,340,44.81104845490,-93.81700251200,44.974573,-93.27035,"44.8110484549, -93.817002512","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,341,44.78679857230,-93.77739524940,44.974573,-93.27035,"44.7867985723, -93.7773952494","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,342,44.78561876100,-93.81763394400,44.974573,-93.27035,"44.785618761, -93.817633944","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,343,44.78613182920,-93.86872136090,44.974573,-93.27035,"44.7861318292, -93.8687213609","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,344,44.74247897710,-93.86896895930,44.974573,-93.27035,"44.7424789771, -93.8689689593","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,345,44.74272055890,-93.81814447060,44.974573,-93.27035,"44.7427205589, -93.8181444706","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,346,44.74066318050,-93.77761302710,44.974573,-93.27035,"44.7406631805, -93.7776130271","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,347,44.69522088080,-93.82846902070,44.974573,-93.27035,"44.6952208808, -93.8284690207","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,348,44.67199365850,-93.73147385040,44.974573,-93.27035,"44.6719936585, -93.7314738504","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,349,44.70337348050,-93.72712355650,44.974573,-93.27035,"44.7033734805, -93.7271235565","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,350,44.70531054460,-93.66273756870,44.974573,-93.27035,"44.7053105446, -93.6627375687","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,351,44.71421267300,-93.63695455700,44.974573,-93.27035,"44.714212673, -93.636954557","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,352,44.72766377980,-93.66142057380,44.974573,-93.27035,"44.7276637798, -93.6614205738","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,353,44.74607588470,-93.63384760180,44.974573,-93.27035,"44.7460758847, -93.6338476018","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,354,44.74798030520,-93.66929436830,44.974573,-93.27035,"44.7479803052, -93.6692943683","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,355,44.74652584420,-93.72569397780,44.974573,-93.27035,"44.7465258442, -93.7256939778","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,356,44.78546287580,-93.72969620980,44.974573,-93.27035,"44.7854628758, -93.7296962098","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,357,44.80048261200,-93.66834729280,44.974573,-93.27035,"44.800482612, -93.6683472928","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,358,44.78369963750,-93.65851020730,44.974573,-93.27035,"44.7836996375, -93.6585102073","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,359,44.76929948750,-93.66108942930,44.974573,-93.27035,"44.7692994875, -93.6610894293","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,360,44.76738324880,-93.62587041970,44.974573,-93.27035,"44.7673832488, -93.6258704197","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
