TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T180,General Mills Blvd & I-394,180,44.9724,-93.3899,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T187,St. Joseph's Church,187,45.1678,-93.1352,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T191,Shoreview Community Center,191,45.0803,-93.1333,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T195,Park Place & I-394,195,44.9697,-93.3499,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T198,Palomino Hills,198,44.7645,-93.2191,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T199,St. Luke's Lutheran Church,199,44.823,-93.3019,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T201,Richardson Park,201,45.19,-93.3993,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T204,Foley Blvd,204,45.1417,-93.286,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T205,Hwy 61 & Co Rd C,205,45.0199,-93.0525,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T209,Hwy 7 & Vinehill Rd,209,44.9097,-93.5261,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T210,65th Ave & Brooklyn Blvd,210,45.0731,-93.3311,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T215,Crosswinds Methodist Church,215,45.1021,-93.4707,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T217,I-35W & 95th Ave,217,45.1452,-93.185,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T219,West St Paul Sports Complex,219,44.8972,-93.0704,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T222,Woodbury Lutheran Church,222,44.924,-92.9582,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T223,St Croix Valley Recreation Center,223,45.0409,-92.8375,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T228,Hwy 610 & Noble,228,45.126,-93.3396,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T229,Woodbury Theatre,229,44.9283,-92.9582,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T230,Preserve Village Mall,230,44.8353,-93.3994,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T231,Coon Rapids/Riverdale Station,231,45.1914,-93.351,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T232,Co Rd 42 & Huntington,232,44.7478,-93.3292,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T242,St. Philip's Park & Ride,242,44.9949,-93.4975,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T244,Elk River Station,244,45.2836,-93.5422,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T245,Cottage Grove,245,44.8255,-92.9552,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T247,Maple Grove Transit Station,247,45.0916,-93.4377,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T248,Walton Park,248,44.9739,-92.964,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T251,28th Ave Station,251,44.8557,-93.2311,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T252,Ft Snelling Station North,252,44.8966,-93.1984,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T253,Ft Snelling Station South,253,44.8912,-93.1966,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
